id,median_intensity_channel1,median_intensity_channel2,median_intensity_channel3,median_intensity_channel4,median_intensity_channel5,median_intensity_channel6,median_intensity_channel7,median_intensity_channel8,median_intensity_channel9,median_intensity_channel10,median_intensity_channel11,median_intensity_channel12,median_intensity_channel13,median_intensity_channel14,median_intensity_channel15,median_intensity_channel16,median_intensity_channel17,median_intensity_channel18,median_intensity_channel19,median_intensity_channel20,median_intensity_channel21,median_intensity_channel22,median_intensity_channel23,median_intensity_channel24,median_intensity_channel25,median_intensity_channel26,median_intensity_channel27,median_intensity_channel28,median_intensity_channel29,median_intensity_channel30,median_intensity_channel31,median_intensity_channel32,median_intensity_channel33,median_intensity_channel34,median_intensity_channel35,median_intensity_channel36,median_intensity_channel37,median_intensity_channel38,median_intensity_channel39,median_intensity_channel40,median_intensity_channel41,median_intensity_channel42,median_intensity_channel43,median_intensity_channel44,median_intensity_channel45,median_intensity_channel46,median_intensity_channel47,median_intensity_channel48,median_intensity_channel49,median_intensity_channel50,median_intensity_channel51,median_intensity_channel52,kurtosis_channel1,kurtosis_channel2,kurtosis_channel3,kurtosis_channel4,kurtosis_channel5,kurtosis_channel6,kurtosis_channel7,kurtosis_channel8,kurtosis_channel9,kurtosis_channel10,kurtosis_channel11,kurtosis_channel12,kurtosis_channel13,kurtosis_channel14,kurtosis_channel15,kurtosis_channel16,kurtosis_channel17,kurtosis_channel18,kurtosis_channel19,kurtosis_channel20,kurtosis_channel21,kurtosis_channel22,kurtosis_channel23,kurtosis_channel24,kurtosis_channel25,kurtosis_channel26,kurtosis_channel27,kurtosis_channel28,kurtosis_channel29,kurtosis_channel30,kurtosis_channel31,kurtosis_channel32,kurtosis_channel33,kurtosis_channel34,kurtosis_channel35,kurtosis_channel36,kurtosis_channel37,kurtosis_channel38,kurtosis_channel39,kurtosis_channel40,kurtosis_channel41,kurtosis_channel42,kurtosis_channel43,kurtosis_channel44,kurtosis_channel45,kurtosis_channel46,kurtosis_channel47,kurtosis_channel48,kurtosis_channel49,kurtosis_channel50,kurtosis_channel51,kurtosis_channel52,entropy_channel1,entropy_channel2,entropy_channel3,entropy_channel4,entropy_channel5,entropy_channel6,entropy_channel7,entropy_channel8,entropy_channel9,entropy_channel10,entropy_channel11,entropy_channel12,entropy_channel13,entropy_channel14,entropy_channel15,entropy_channel16,entropy_channel17,entropy_channel18,entropy_channel19,entropy_channel20,entropy_channel21,entropy_channel22,entropy_channel23,entropy_channel24,entropy_channel25,entropy_channel26,entropy_channel27,entropy_channel28,entropy_channel29,entropy_channel30,entropy_channel31,entropy_channel32,entropy_channel33,entropy_channel34,entropy_channel35,entropy_channel36,entropy_channel37,entropy_channel38,entropy_channel39,entropy_channel40,entropy_channel41,entropy_channel42,entropy_channel43,entropy_channel44,entropy_channel45,entropy_channel46,entropy_channel47,entropy_channel48,entropy_channel49,entropy_channel50,entropy_channel51,entropy_channel52,area_channel1,area_channel2,area_channel3,area_channel4,area_channel5,area_channel6,area_channel7,area_channel8,area_channel9,area_channel10,area_channel11,area_channel12,area_channel13,area_channel14,area_channel15,area_channel16,area_channel17,area_channel18,area_channel19,area_channel20,area_channel21,area_channel22,area_channel23,area_channel24,area_channel25,area_channel26,area_channel27,area_channel28,area_channel29,area_channel30,area_channel31,area_channel32,area_channel33,area_channel34,area_channel35,area_channel36,area_channel37,area_channel38,area_channel39,area_channel40,area_channel41,area_channel42,area_channel43,area_channel44,area_channel45,area_channel46,area_channel47,area_channel48,area_channel49,area_channel50,area_channel51,area_channel52
1,690.1,1.0,0.0,1.685,1.385,2.0,4.393,3.036,2.12,0.0,51.7135,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.929,0.0,0.0,0.0,0.0,0.0,0.0,1.748,0.0,0.0,1.827,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,5.824,1.0,0.0,2.9512596,5.628934,9.599821,5.325292,5.142325,4.5251074,4.4462924,4.4764857,8.616287,12.45688,3.0164886,15.603761,24.638699,17.892145,68.967354,27.94479,17.911665,102.52261,28.976574,333.42563,62.962353,136.62054,72.531044,171.67947,20.159,1538.4431,31.085962,20.510244,19.283781,39.057304,53.049824,14.136475,31.806469,18.709824,2078.8225,17.874105,10.666146,16.055782,375.81967,12.67746,5.329322,3392.131,214.37431,16.103886,60.89828,16.694057,9.7655325,11.2916975,10.81695,3.2640276,4.4034386,12857.509,13.99100378635589,4.22431349676251,1.8119940875179936,6.123541632219467,5.976508871277882,6.234222825475556,9.295793059597147,8.160298126135542,7.995889350692917,2.6000965190894476,13.251536053946422,2.225870876145451,0.5999352937000278,5.079078483817797,2.6052963997514054,3.5127148765546594,1.146663966927055,1.0290439504319877,0.6177557531448007,2.4698397161496515,3.1159381111461077,1.6081842593021134,4.849987701836045,0.46202787628642905,2.4504101439975816,2.2409433344729286,0.9446962278921137,3.1868358166485935,4.018021885503398,0.5444918846453461,9.873092642613482,1.726357319047092,0.6589870970084181,3.005050046136344,0.5961144097809857,1.1034205779831563,3.0550362072253576,7.066859420339686,1.4409603140506675,1.5341297172907566,6.584554235774642,2.828340914468003,0.7917627668374386,3.6598920412703704,0.5159738850940908,7.733163726045977,3.397403234419553,4.946670381883069,6.245917232667657,9.77249847451617,5.141289859357223,0.5187287540296867,22500,12548,5603,16543,16341,17792,20233,19105,16110,6720,22500,6403,1701,12510,6599,8108,3164,2493,1631,5328,6368,4459,10973,1161,6216,5929,2535,7033,10459,1351,20180,4793,1704,6691,1475,2941,8340,14900,3528,4298,16093,7355,2019,9651,1254,14059,9329,10073,12299,22366,15641,1236
2,673.617,1.0,0.0,2.098,2.0,3.0,5.819,4.078,0.652,0.0,55.245003,0.0,0.0,7.872,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.891,1.0,0.0,2.9796102,11.585619,11.895994,11.041798,11.520523,11.753144,12.151508,12.221536,20.628643,23.461853,3.0289428,15.333365,22.469414,9.782613,44.18789,31.320871,29.197153,19670.56,25.286919,202.43924,99.68723,33.018654,56.169403,280.57147,34.761623,3795.6997,43.74217,73.99064,8436.842,36.973885,114.5042,55.446724,71.93109,21.418121,230.04704,27.25731,14.3843155,23.877361,1148.4425,17.256084,7.0895333,76.36766,80.34061,50.134575,48.80406,34.736347,159.48944,27.336655,28.058737,3.3219786,4.561299,35.819176,13.996082467045268,5.118815117963416,2.4312329953419893,7.365944205169882,7.134240865404312,7.685799805472936,10.197469631232174,9.23637441638086,5.171704763034647,1.3594141156183945,12.85596384833686,2.1523968070101405,0.7453225649469444,10.869870862303042,2.6193953116673576,3.318477341895673,1.1367705459915132,0.9662906674528003,0.7452938078201146,2.738868546992591,5.576557624380496,1.40025379351257,3.0721798575143726,0.556151296870369,0.8769161434469146,0.9936846032372503,0.7381423163149389,0.9290270256178551,2.621769615259989,0.4042818054681884,10.189815893967781,1.696942115007239,1.050647507628401,2.772983106320703,0.6241557602104357,0.8935796327103231,2.0537997578656304,4.859334241967108,1.0057274602055697,1.7350248217734137,6.133979706960048,1.0523461514503094,0.7568437234205473,2.812855295381875,1.4105256274527038,5.128943425217873,2.9521581861100605,4.340680165934455,5.482362641633729,9.439854067426994,4.489097934749097,0.5630033805125217,22500,14591,7393,18055,17704,19117,21065,20194,11320,3769,22500,6322,2179,20609,6443,6875,3103,2477,2053,6069,11732,3724,6876,1402,2307,2555,1902,2194,7278,1015,19720,4798,2768,5984,1596,2329,5527,9804,2408,4846,15990,2608,1849,6934,3036,8825,7938,8625,10835,22239,14322,1405
3,660.5705,1.2,0.0,2.915,2.682,3.659,7.331,5.287,1.0,0.0,46.33,0.0,0.0,13.2225,0.0,0.0,0.0,0.0,0.0,1.003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.868,0.0,17.1105,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.158,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.776,1.0,0.0,3.0510163,5.433893,7.7392964,5.186707,4.8627768,4.8722234,5.4037223,5.011654,11.777951,18.14485,3.1151135,9.927283,62.317883,106.94634,29.583256,27.758682,15.035931,3899.9111,35.286297,20.74665,34.04815,9.470659,27.976295,276.78116,222.68506,5144.607,58.48801,23.539825,20.336884,27.409739,17.992216,10.210692,27.097017,62.516674,1952.4379,17.20539,21.670048,17.688503,119.2893,13.358446,11.30769,2711.7886,437.03812,18.890203,38.177414,14.398232,560.64105,17.308455,17.877693,3.3850408,4.7016625,48.040493,13.738415218758858,5.797032583157966,2.56369071716201,7.961842192434566,7.811365711347571,8.850897938511277,10.964261191420663,10.057503956824316,6.453410254935028,1.4658105537990807,13.185311837842823,2.980582830287136,0.9081233698411201,12.330279238400847,3.821348255133094,4.097666539068493,1.5278740151825807,1.74710042196641,1.1822086049829619,6.892573853878372,6.56348646872028,5.1880062341435496,3.3859984842103827,0.7396804063203662,0.9797750026650216,2.080572717926549,0.9812961971426102,1.061323911640361,4.233433132113753,0.6583910735005304,12.661329232653829,2.9027001616718136,0.7713699805650408,1.7090725172419883,0.8015104586567585,1.126162814328714,4.362022603857924,7.431132726540574,2.0544041893223643,2.348951912574401,7.4560843502892995,5.34048168217975,1.2784065617559022,3.350419529823417,1.3057438816939781,8.002020538736137,2.9426165998258367,5.625053006685305,6.79931560023795,9.480870648120987,4.50785013151373,0.46966146435584716,22500,16341,7934,19600,19455,20559,21894,21389,13979,3938,22500,8699,2590,21977,9722,9793,4327,4560,3317,13558,13147,13434,8932,1880,2547,5357,2629,2750,11423,1722,22156,8345,1974,4424,2073,3011,11923,16807,4737,6636,17932,12491,3281,9770,3131,15133,8244,10761,12996,22179,13844,1092
4,707.517,1.0,0.0,1.699,1.457,2.075,4.4245,3.056,2.0,0.0,52.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8405,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.008,5.745,1.0,0.0,3.006204,5.499594,10.077794,4.361616,4.5171566,4.5276036,4.8869004,4.3649116,23.35168,12.841505,3.1003644,14.387674,25.965498,1584.6288,29.634039,47.408344,50.34518,17.491207,41.96754,30.87252,33.315582,21.034937,14.939768,835.4985,25.100424,3525.62,93.0912,63.016064,11.280027,54.27302,63.740433,11.919441,31.389063,37.39139,4899.471,34.749027,14.42601,20.036764,377.16684,17.545845,9.604031,88.582275,30.48283,11.346928,45.912037,59.153675,55.375774,13.777062,12.51751,3.365386,4.7490544,32.3629,14.001723463867542,4.1449284879504615,1.7032933453670263,5.974721889061262,5.88738490172093,6.96338226077322,9.320351550050916,7.888165985005048,6.4149184506056995,1.362796160115198,13.316220958396846,1.415587620497151,0.4863495035587152,3.252494914830149,0.8113909220942533,0.38582567738384205,0.49416239513258037,1.37994332024701,0.38442757978753156,0.6555606081247676,1.4473708823746634,0.7772768744096076,1.6724165476047859,0.2988339350476318,0.6862197174898457,0.5456697936649502,1.4467447524373085,0.28387351493935487,1.5306568183302185,0.4558016616509442,11.294301504686322,1.5108174831326333,0.6102964719391001,0.4716422576596313,0.3235294305378407,0.5379488054734434,1.368849484451133,3.2113303947305964,1.0401376139401286,1.0981973208827436,3.915855185370784,1.5815288095811106,0.47210990531660935,1.541430378964576,0.48450489730464846,2.921804955140313,2.601607420242184,5.975956890966808,7.685530976255194,9.883210108835728,4.978055860705208,0.5695034292500302,22500,12971,5382,17413,17186,18978,21447,20523,16812,4085,22500,4333,1420,9267,2190,968,1285,3832,964,1735,3675,2060,4710,710,1794,1292,3630,665,4460,1100,21764,4519,1555,1125,754,1334,3863,8375,2287,2988,11418,3924,1174,4432,1174,7450,7155,13343,16272,22338,15477,1391
5,514.647,1.0,0.0,2.0,1.792,2.217,4.938,3.426,1.0,0.0,41.713,0.0,0.0,1.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.629,1.0,0.0,3.009835,10.629927,13.430673,14.4269285,10.446472,10.869279,13.471264,14.149216,14.368274,21.637884,3.005007,26.491188,27.792122,19.639097,76.68857,64.06576,23.42118,3630.663,40.26601,526.9558,85.32767,19.972643,26.738346,204.81828,68.127426,4949.835,49.66786,42.23793,13.404757,32.88454,28.457216,14.551481,51.000427,49.919353,46.16054,28.937897,12.782532,51.60483,310.4273,15.096315,8.240476,31.309687,26.284594,37.034065,44.81008,53.238697,18.93991,20.463707,20.166336,3.6590793,4.748447,35.65622,13.307296224718241,4.937184388216705,2.1639023713562224,6.73079857754179,6.510147837798639,7.434592192583572,9.492111460264487,8.574071476639473,5.493300191220131,1.8834238796111002,13.098563374788544,2.0657148898585573,0.5700034145713218,6.573662462410216,1.6295490365223926,2.180856965960885,1.0759105176705872,1.4129192441431861,0.6255687205311212,3.2648572339522004,5.014411405074688,1.713665758310206,2.9210193666631468,0.7629016895839866,1.6507705219796815,2.5255445418402935,1.0375248688050875,1.053128138336913,2.6968074949729957,0.4945522649195706,11.519994350624078,1.5780309062153284,2.1296654564224133,1.9155589389539323,0.6139936481024094,0.7478433394865218,2.226494780748401,4.273931902486404,0.8568284120610684,1.6997480689297426,5.992493450160433,3.5834143370652574,0.8050955297974619,2.9351713492086637,0.488190460070582,4.101947848688361,2.98372783820094,3.286973826177868,4.068191293505726,8.619351034383314,3.7257919913178608,0.5200793085682424,22500,13040,6295,16059,15807,17048,19150,18181,11423,4699,22500,5482,1604,14699,3687,4361,2859,3354,1636,7454,10904,4594,6877,1903,4110,6540,2645,2508,7392,1256,20768,4320,5283,4106,1534,1915,5932,9576,1988,4634,14353,8363,2006,7479,1160,8489,7607,6362,7833,21685,11791,1260
6,682.10046,1.0,0.0,2.394,2.288,3.254,6.721,4.802,0.0,0.0,44.342,0.0,0.0,9.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.209,1.0,0.0,3.0014813,6.4246135,9.069138,6.495343,6.990463,7.3307056,7.1607876,6.522676,39.96004,26.226463,3.0363154,27.192465,36.044937,35.635754,17.95835,26.971725,42.315105,4191.882,110.759605,324.96704,543.12476,78.65033,31.132812,19722.201,50.981277,1837.095,182.65585,63.984035,12.057289,43.507538,15.5288315,17.14651,41.824886,54.868412,75.96285,37.495926,30.36294,22.965902,61.179367,18.762775,14.170654,91.79421,71.450554,16.68581,84.42811,29.476992,14.188888,53.158024,41.496952,3.6339028,4.6530156,42.222298,13.97180437944851,5.546438910013724,2.4601936274234784,7.582816948619516,7.326816032751697,8.471472287185007,10.540775340762073,9.578760041846829,4.289600077088592,0.8813544874350303,13.160567368164756,1.4003754333989853,0.4295413959211852,11.209584596759804,1.1029401736797808,1.592424842438915,0.5082924194260062,0.5824919107112665,0.35670847696801056,0.5043136395531246,0.9285860086644131,0.36521923814412055,0.7072911860790028,0.540331327664877,0.4166323396526919,3.7380130522785766,0.3088087013073434,0.34930055531455084,1.9399892550657323,0.36036708971956577,9.28191218152173,1.3325731374345768,0.5949285136204331,0.4121817815116184,0.3671765188730596,0.5568717416280978,0.8333975976057303,1.5876633911696019,0.30309893595589504,1.0848301683488608,5.723225359444506,0.20729747775926832,0.26147508981706524,1.8889601902995723,0.49646777205327325,4.44566025022749,2.2268908119003594,4.234745117475648,5.469844971180903,9.75627048133971,4.712622062792149,0.49054532878738427,22500,15114,7346,18181,18147,19241,20775,20236,10115,2377,22500,4053,1184,20775,2988,3801,1284,1449,893,1131,1991,880,1785,1250,989,9390,725,820,5434,853,18848,3610,1450,937,840,1358,2085,3944,674,2834,14763,456,590,5167,1154,8158,6274,8749,11759,22248,14546,1195
7,664.6,2.007,0.0,4.06,4.0,5.281,10.564,7.679,10.684,1.0,42.2625,1.04,0.0,2.449,2.0,1.549,0.0,0.0,0.0,0.657,0.0,0.0,3.302,0.0,0.0,1.0,0.0,0.0,1.316,0.0,16.157,1.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,6.4635,0.0,0.0,2.0,0.0,13.492,1.172,2.318,4.599,4.665,1.0,0.0,3.0470393,5.0122643,7.29872,4.6691914,4.981088,5.1155753,4.82557,4.644342,5.9633245,7.9510083,3.0923672,13.658752,11516.8,21.015005,11.283635,8.593636,9.479484,18544.867,22.58197,89.25996,107.61762,8.581039,8.521204,1384.4945,18.90253,1908.1012,17.092966,14.580556,19.053305,16.146109,23.701368,7.170384,17.755318,9.702454,15.500475,11.749176,34.034927,6.1971564,251.89494,7.2439523,3.6894271,2761.1902,2426.2314,5.0430374,36.654343,11.834188,6.4317803,6.6407647,6.058546,3.5126097,4.636242,251.2963,13.946715959737736,7.092526791683576,3.2974289795883935,9.23281188574825,9.072124051822044,10.048905309809097,11.882143414127512,11.148064076883736,10.86900795047278,4.594205826459855,13.123590722752681,6.092444415794321,1.0923731736715152,8.457401053079622,7.394901321494916,6.661104688083381,2.2047895054991127,1.238673209569512,1.1536998905097626,5.037878056957901,1.578618683180385,3.7375873141249323,8.601608319681512,0.6825142831627632,3.3132118812357105,5.239264997482274,1.7616907310970886,3.3867276273260445,6.055535786197491,1.0276652178766355,11.996929956026976,4.143904380646586,1.0154645703420084,5.951786583429326,1.2271523670263225,1.8444015897972155,6.891705280214555,7.7865645908900865,1.6172586188005018,3.0727685694150333,10.386114327305126,2.5702058800575585,1.1360771381752957,6.991013015562152,1.5964651020561236,11.829077821915845,5.85929647873351,7.872760335903391,9.282026564069891,9.454672774146408,4.322645814824419,0.6222140352412797,22500,18484,9981,20885,20775,21420,22151,21957,20434,11642,22500,14725,3061,17751,16119,15337,6437,3314,3219,11327,3175,10508,18365,1716,9151,12900,4986,8379,16098,2792,22034,11792,2738,12559,3334,5270,17073,18900,4206,9009,21155,6640,3114,17691,4356,20782,15763,15064,17053,22144,13789,1485
8,665.52454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3404999,0.0,54.814,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.892,0.0,0.0,0.0,0.0,0.0,0.0,4.448,0.0,0.0,2.417,0.0,0.0,1.0,0.0,3.667,0.0,0.0,1.0,4.737,1.0,0.0,3.0209765,15.406207,47.24002,12.471176,14.643764,11.195281,7.784377,9.0607815,12.509464,13.092664,3.0637543,15.370021,20.235249,45.03888,17.997673,14.99017,25.996971,68.735085,21.348127,77.6962,69.811935,15.306226,21.090502,33.67282,18.425257,2652.9858,22.318857,19.280502,13.685625,23.474033,17.475267,8.221803,33.313885,18.27624,398.943,14.480702,8.184935,12.133599,431.21313,9.917118,4.7795243,1026.7953,26.032616,7.2297096,33.548492,36.50044,6.5147343,10.044186,9.313128,3.3937242,5.202967,23.97179,14.000329205666793,0.9287921174566485,0.3430945316062459,1.3082153762994235,1.2616612033371386,1.5374074752937064,2.502334040795428,1.91331275044202,8.045853459542158,2.394928807043475,13.340142335032356,2.087767492576162,0.6875814166405715,7.076710268289728,3.9352001182285723,3.581352873336818,1.9792760759371388,1.3754906590273035,0.7107913143440963,2.039864415105532,2.7068307171818793,1.1268946424212514,7.131164610026378,0.5125825913597978,1.9581708987985846,1.921124499165591,1.4178300302218148,2.317529602914513,3.6218478966826133,0.6388764247425587,10.880202731875855,2.8275039228772845,1.0011175375658254,4.309242788883229,1.0085136333254334,1.3530158962139647,3.91014391784252,9.493477604408584,2.150382091052057,1.9695561918262001,7.543183274967169,3.4280641114812322,0.8695226996543719,4.743892400476538,0.5916450314724712,7.848711206860062,3.711059091923951,5.327067431096961,6.603768104033172,9.454601348369842,4.520335999155945,0.7257692843358281,22500,2619,871,3921,3656,4613,7824,6090,16854,6732,22500,6075,1942,15765,9548,8890,5313,3574,1910,4872,5743,3088,15312,1308,5416,5143,3911,6249,10360,1660,20385,8249,2582,10073,2725,3757,10975,18908,5732,5707,17829,8829,2281,12946,1527,16901,10576,10620,12981,22161,14028,1846
9,662.7505,2.0,0.0,3.883,3.625,5.093,10.0755005,7.342,2.513,0.0,44.5095,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2805,0.0,0.0,0.0,0.0,0.0,0.0,1.639,0.0,0.0,2.123,0.0,0.0,0.0,0.0,0.0,0.0,3.075,6.32,4.985,1.0,0.0,3.038911,4.537079,6.897219,4.9034038,4.159521,4.867363,4.7976837,4.2767363,6.349606,12.072912,3.10335,440.76593,29.12862,22.891657,19.401808,27.743324,16.972881,65.01073,19.853714,232.03607,42.43215,12.972279,14.006415,214.89113,20.917574,1291.6123,15.763312,10957.044,8.451826,27.822708,15.294392,8.324106,48.477215,558.8195,3601.8315,11.670852,893.1001,15.367104,381.84668,9.214082,5.5697336,1818.4862,1431.0055,12.540977,97.49812,29.7665,23.873455,6.0856614,5.7175307,3.374793,4.759413,41.577423,13.946591192804943,6.796473302716553,3.140887837272763,9.004794559250687,8.791675938515084,9.879439803906072,11.72499899919942,10.966216932077458,7.549336306007409,1.6746127226978238,13.032515114677661,2.3367840313134147,0.7420054749345387,5.561399458545545,0.9776297851652386,0.8392183374905984,1.139620197032941,1.7669615909662026,0.9781325937812831,1.725812798768833,5.580016723914981,2.29578439914891,4.803097196017668,0.8869882653854217,1.0091118796517957,3.024938337264399,1.2289902925486644,0.9153224579688083,2.9603489861530083,0.6562630312394333,13.148044677523801,2.7093665225636854,1.3935448790354057,1.8727706987314425,0.6074862187314645,2.1640723675410753,2.7955400282248104,6.546167996858425,1.1154789953362807,2.21976911796241,7.363176703453291,2.8610927841513365,0.8608530999807428,3.039958793662504,0.8010179768521385,4.334144809138504,2.743906597977511,8.311797394620974,9.803473332919218,9.580360964058496,4.538040843830873,0.4279952690052712,22500,18267,9680,20930,20751,21521,22186,21959,17349,4793,22500,6759,2068,13048,2659,2190,3096,4702,2656,4128,10290,6421,11612,2237,2680,7371,3320,2370,8539,1722,22164,7777,3474,5113,1551,6022,7933,15169,2800,6364,17796,7474,2087,8851,1936,9482,7602,16219,18169,22206,14276,994
10,635.713,1.0,0.0,2.0,2.0,2.803,5.507,4.0,4.25,0.0,45.517,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.32,0.0,13.536,0.0,0.0,0.0,0.0,0.0,0.0,1.762,0.0,0.0,4.117,0.0,0.0,1.0,0.0,7.384,1.0,1.0,2.0,3.324,0.497,0.0,3.0433598,5.4440613,8.434166,5.0544567,4.762176,4.46065,3.8118734,3.9523313,8.782035,12.369787,3.0293684,9.665673,17.614927,35.6589,20.908808,13.772504,11.809645,245.35487,23.270937,98.09426,37.405727,10.421003,9.154994,45.628296,13.133254,1218.6942,18.07755,21.492104,16.693197,22.498846,151.48558,10.056505,28.868292,575.61523,24.238901,16.684015,16857.324,13.879959,47.274834,9.205118,5.820798,23.474085,17.814949,9.652723,22.768719,9.484051,7.34754,8.650268,8.447991,3.9912035,5.97852,24.757769,13.92983138290078,5.012258387002414,2.183022610508311,6.986733588081249,6.533858396912195,7.863890231478164,10.06433719479186,9.041752314644746,9.38862470824887,2.985895388491672,13.193925630830401,3.2941531494102536,0.9004517359042654,7.22692744936884,4.690720465872376,5.796252376380507,1.9564009126489776,1.4686645545355328,0.9996459502580536,3.9582603072143456,5.307370061645232,3.426618850441403,5.921586537925764,0.569796224385907,2.668794910435721,2.471725770238757,1.2430200224469858,2.528072189281314,8.90113177845193,0.8380227550073872,12.198155242150643,2.4655092151007194,0.989762063175799,3.8181428375696522,0.8512609701477949,1.396234291050634,3.836903308983132,7.077822140939688,1.3259356805468898,2.4806465887827893,9.263453019133319,4.522919799266921,1.1923714591954055,5.663560883446336,2.3475981540749142,10.319154444680567,4.83164564571431,5.948036768841327,7.707200427711278,8.382839965951806,3.6051231070709746,0.6255097548384941,22500,13950,6557,17585,17356,18708,20738,19956,18615,7904,22500,9097,2482,16215,10505,11925,5471,3707,2720,8904,10743,9249,13721,1468,7358,6390,3335,6222,17758,2221,21692,7011,2638,9269,2211,3865,10476,15352,3523,7060,19307,11122,3251,13970,5860,18320,13682,12744,15053,21422,11302,1572
11,455.43652,1.0,0.0,1.705,1.517,2.051,4.442,3.096,5.86,0.0,36.38,0.0,0.0,1.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.781,0.0,0.0,0.0,0.0,0.0,0.0,1.427,0.0,0.0,2.844,0.497,0.0,1.0,0.0,4.343,1.0,0.0,1.0,9.872,2.0,0.0,3.0109887,5.707298,9.384798,5.2282014,4.793134,4.399783,4.217975,4.294952,5.5889697,8.591886,3.0298471,11.515023,24.057598,35.697353,13.992264,14.3260355,27.426508,169.82182,25.441305,51.68096,33.329403,5507.3594,12.764159,100.08414,24.42562,288.7098,57.95138,28.073584,6.6851816,20.773903,17.215145,9.899533,43.401985,3668.3179,27.431728,19.613409,9.103036,16.796837,53.80952,9.897541,4.533384,1790.4316,298.349,8.820866,16.351671,7.666903,7.2561264,11.994313,13.182441,3.6463766,4.014509,28.60578,13.51481451277089,4.352617837462615,1.7351631369031566,6.118606724233048,5.974121316167614,6.969233187515124,9.332260868865404,8.268890470744847,10.147216529890063,3.3518046661188756,12.991393770894998,2.893852778373137,0.5844301485725689,6.5153702358419965,3.9125175918179567,3.62613967303362,1.4103718296299068,2.9940323475236355,0.7005086202915982,2.8842179286396368,2.83883844642715,1.4674903971049997,7.198152337768021,0.9460401859644466,1.3412318968310477,5.934659879427316,1.320305115578131,0.8059801261128905,3.339853251838444,0.6863780076015541,11.99318444633444,3.4090631249775827,1.0386136297817357,1.1446304126337572,0.5891469862943233,1.034111660639525,3.3356846716939366,6.906117661879762,2.14850958314462,2.157978831101942,7.894905914644871,4.211336503743609,0.9069789339055355,4.247483410545264,2.36089479749094,9.130730497816588,4.460626091452236,3.8142386558857897,5.2188096020103,11.314888565545571,6.621403699279697,0.5463405081872504,22500,13182,5264,17133,16917,18465,20862,19996,19896,9557,22500,8571,1679,14422,9624,8930,3960,7512,1840,6218,5803,4136,15815,2438,3818,14038,3541,2088,10041,1873,21476,9711,2775,3057,1524,2888,9682,14920,5297,6375,18970,11282,2468,12411,6190,16327,12533,9210,11719,22483,18800,1374
